AccSpeciesName,count,AccSpeciesID,Genus,SpeciesEpithet,Family,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,param_count_before,param_count_after,PFT
Poga oleosa,2,42994,Poga,oleosa,Anisophylleaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Polyscias albersiana,4,43332,Polyscias,albersiana,Araliaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Polyscias fulva,6,43337,Polyscias,fulva,Araliaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Portulacaria afra,4,43583,Portulacaria,afra,Portulacaceae,shrub/tree,broadleaved,evergreen,C3/CAM,4,4,BET-Tr
Poulsenia armata,15,43751,Poulsenia,armata,Moraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Pouteria adolfi-friedericii,10,43778,Pouteria,adolfi-friedericii,Sapotaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Pouteria alnifolia,90,43779,Pouteria,alnifolia,Sapotaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Pouteria altissima,3,43780,Pouteria,altissima,Sapotaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Pouteria sapota,12,43916,Pouteria,sapota,Sapotaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Premna maxima,2,44002,Premna,maxima,Verbenaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Prioria oxyphylla,21,44092,Prioria,oxyphylla,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Prosopis juliflora,2,44134,Prosopis,juliflora,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Protomegabaria stapfiana,2,44267,Protomegabaria,stapfiana,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Prunus africana,12,44292,Prunus,africana,Rosaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Psychotria capensis,29,44664,Psychotria,capensis,Rubiaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Psydrax parviflora,2,44773,Psydrax,parviflora,Rubiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Ptaeroxylon obliquum,8,44783,Ptaeroxylon,obliquum,Ptaeroxylaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Pterocarpus santalinoides,2,44857,Pterocarpus,santalinoides,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Pterocarpus soyauxii,29,44859,Pterocarpus,soyauxii,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Pterocelastrus tricuspidatus,1,44873,Pterocelastrus,tricuspidatus,Celastraceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Ptychopetalum petiolatum,4,44987,Ptychopetalum,petiolatum,Olacaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Pycnanthus angolensis,70,45137,Pycnanthus,angolensis,Myristicaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Pyrostria bibracteata,2,45194,Pyrostria,bibracteata,Rubiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Quassia undulata,38,45309,Quassia,undulata,Simaroubaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Quercus ilex,1,45402,Quercus,ilex,Fagaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Quercus suber,1,45490,Quercus,suber,Fagaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Rapanea melanophloeos,121,45786,Rapanea,melanophloeos,Myrsinaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Rauvolfia vomitoria,6,45838,Rauvolfia,vomitoria,Apocynaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Rawsonia lucida,19,45856,Rawsonia,lucida,Flacourtiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Rhamnus prinoides,42,46009,Rhamnus,prinoides,Rhamnaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Rhigozum zambesiacum,2,46069,Rhigozum,zambesiacum,Bignoniaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Rinorea ilicifolia,4,46578,Rinorea,ilicifolia,Violaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Rinorea welwitschii,4,46597,Rinorea,welwitschii,Violaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Rothmannia engleriana,2,46838,Rothmannia,engleriana,Rubiaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Rothmannia globosa,11,46840,Rothmannia,globosa,Rubiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Rothmannia manganjae,2,46843,Rothmannia,manganjae,Rubiaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Rytigynia uhligii,2,47620,Rytigynia,uhligii,Rubiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Saba comorensis,8,47623,Saba,comorensis,Apocynaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Saba senegalensis,2,47624,Saba,senegalensis,Apocynaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Salacia leptoclada,11,47737,Salacia,leptoclada,Celastraceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Salvadora persica,17,48076,Salvadora,persica,Salvadoraceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Schotia afra,2,48975,Schotia,afra,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Schotia brachypetala,15,48976,Schotia,brachypetala,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Scolopia mundii,15,49186,Scolopia,mundii,Flacourtiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Scolopia zeyheri,11,49192,Scolopia,zeyheri,Flacourtiaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Scorodophloeus zenkeri,96,49198,Scorodophloeus,zenkeri,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Scottellia kamerunensis,2,49217,Scottellia,kamerunensis,Flacourtiaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Scyphocephalium mannii,2,49286,Scyphocephalium,mannii,Myristicaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Senna siamea,22,49705,Senna,siamea,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Sesbania sesban,1,49822,Sesbania,sesban,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Sideroxylon inerme,50,50148,Sideroxylon,inerme,Sapotaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Sloanea rhodantha,32,50531,Sloanea,rhodantha,Elaeocarpaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Sorindeia madagascariensis,2,51169,Sorindeia,madagascariensis,Anacardiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Spathodea campanulata,6,51235,Spathodea,campanulata,Bignoniaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Spirostachys africana,20,51412,Spirostachys,africana,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Staudtia kamerunensis,55,51602,Staudtia,kamerunensis,Myristicaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Streblus dimepate,40,51982,Streblus,dimepate,Moraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Strephonema pseudocola,2,71771,Strephonema,pseudocola,Combretaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Strombosia grandifolia,39,52063,Strombosia,grandifolia,Olacaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Strombosia pustulata,29,52066,Strombosia,pustulata,Olacaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Strombosia scheffleri,66,52068,Strombosia,scheffleri,Olacaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Strombosiopsis tetrandra,55,52071,Strombosiopsis,tetrandra,Olacaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Strychnos decussata,13,52113,Strychnos,decussata,Loganiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Strychnos henningsii,11,52120,Strychnos,henningsii,Loganiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Strychnos pungens,6,52145,Strychnos,pungens,Loganiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Suregada zanzibariensis,15,52349,Suregada,zanzibariensis,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Symphonia globulifera,18,52505,Symphonia,globulifera,Clusiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Synsepalum brevipes,18,52640,Synsepalum,brevipes,Sapotaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Syzygium cordatum,2,52699,Syzygium,cordatum,Myrtaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Syzygium guineense,83,52733,Syzygium,guineense,Myrtaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Syzygium jambos,40,52742,Syzygium,jambos,Myrtaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Syzygium parvifolium,2,52769,Syzygium,parvifolium,Myrtaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Syzygium sclerophyllum,2,52785,Syzygium,sclerophyllum,Myrtaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Tabernaemontana crassa,21,52853,Tabernaemontana,crassa,Apocynaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Tabernaemontana pachysiphon,2,52863,Tabernaemontana,pachysiphon,Apocynaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Tabernaemontana stapfiana,65,52874,Tabernaemontana,stapfiana,Apocynaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Tamarindus indica,8,52970,Tamarindus,indica,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Tambourissa thouvenotii,40,53002,Tambourissa,thouvenotii,Monimiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Tarchonanthus camphoratus,1,53489,Tarchonanthus,camphoratus,Asteraceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Terminalia sambesiaca,4,53755,Terminalia,sambesiaca,Combretaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Terminalia superba,24,53769,Terminalia,superba,Combretaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Tessmannia africana,32,53807,Tessmannia,africana,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Tetraberlinia bifoliolata,3,53813,Tetraberlinia,bifoliolata,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Tetrapleura tetraptera,10,53887,Tetrapleura,tetraptera,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Tetrorchidium didymostemon,46,53936,Tetrorchidium,didymostemon,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Thespesia garckeana,1,54131,Thespesia,garckeana,Malvaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Thomandersia laurifolia,2,54178,Thomandersia,laurifolia,Acanthaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Tiliacora funifera,4,54351,Tiliacora,funifera,Menispermaceae,tree,broadleaved,evergreen,C3,1,4,BET-Tr
Treculia obovoidea,4,54666,Treculia,obovoidea,Moraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Trema orientalis,11,54676,Trema,orientalis,Ulmaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Trichilia capitata,1,54741,Trichilia,capitata,Meliaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Trichilia dregeana,1,54747,Trichilia,dregeana,Meliaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Trichilia emetica,7,54750,Trichilia,emetica,Meliaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Trichilia monadelpha,41,54767,Trichilia,monadelpha,Meliaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Trichilia prieuriana,28,54777,Trichilia,prieuriana,Meliaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Trichilia welwitschii,10,54796,Trichilia,welwitschii,Meliaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Trichocladus crinitus,28,54801,Trichocladus,crinitus,Hamamelidaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Trichocladus ellipticus,20,54802,Trichocladus,ellipticus,Hamamelidaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Trichoscypha patens,2,54850,Trichoscypha,patens,Anacardiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Tridesmostemon omphalocarpoides,57,54912,Tridesmostemon,omphalocarpoides,Sapotaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Trilepisium madagascariense,96,55072,Trilepisium,madagascariense,Moraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Trilepisium phoberos,1,60551,Trilepisium,phoberos,Moraceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Turraea holstii,2,55366,Turraea,holstii,Meliaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Turraeanthus africanus,27,55374,Turraeanthus,africanus,Meliaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Uapaca guineensis,5,55412,Uapaca,guineensis,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Uapaca kirkiana,3,55414,Uapaca,kirkiana,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Uapaca louvelii,40,55416,Uapaca,louvelii,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Uapaca nitida,1,55417,Uapaca,nitida,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Uapaca staudtii,2,55424,Uapaca,staudtii,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Uvaria caffra,2,55652,Uvaria,caffra,Annonaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Uvariopsis congensis,1,55672,Uvariopsis,congensis,Annonaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Vepris lanceolata,3,55955,Vepris,lanceolata,Rutaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Vepris trichocarpa,10,72222,Vepris,trichocarpa,Rutaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vepris undulata,24,55960,Vepris,undulata,Rutaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Virgilia oroboides,18,56601,Virgilia,oroboides,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Vitellaria paradoxa,373,56660,Vitellaria,paradoxa,Sapotaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Vitex grandifolia,29,56686,Vitex,grandifolia,Verbenaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Vitex rivularis,1,56710,Vitex,rivularis,Verbenaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Vochysia guatemalensis,24,56787,Vochysia,guatemalensis,Vochysiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Warburgia ugandensis,2,56920,Warburgia,ugandensis,Canellaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Weinmannia bojeriana,24,56956,Weinmannia,bojeriana,Cunoniaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Weinmannia rutenbergii,40,56970,Weinmannia,rutenbergii,Cunoniaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Xanthocercis zambesiaca,1,57132,Xanthocercis,zambesiaca,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Xylopia aethiopica,10,57251,Xylopia,aethiopica,Annonaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Xylopia arenaria,2,57254,Xylopia,arenaria,Annonaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Xylopia odoratissima,2,57283,Xylopia,odoratissima,Annonaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Xylopia quintasii,2,57286,Xylopia,quintasii,Annonaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Xylopia staudtii,9,57292,Xylopia,staudtii,Annonaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Xymalos monospora,73,57320,Xymalos,monospora,Monimiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Zanthoxylum capense,19,57397,Zanthoxylum,capense,Rutaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Zanthoxylum zanthoxyloides,1,72441,Zanthoxylum,zanthoxyloides,Rutaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ziziphus abyssinica,4,57532,Ziziphus,abyssinica,Rhamnaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Gymnosporia acuminata,112,NA,Gymnosporia,acuminata,Celastraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vachellia nilotica,100,NA,Vachellia,nilotica,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Dracaena afromontana,64,NA,Dracaena,afromontana,Asparagaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Astropanax myrianthus,62,NA,Astropanax,myrianthus,Araliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Astropanax volkensii,61,NA,Astropanax,volkensii,Araliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Psychotria cyathicalyx,60,NA,Psychotria,cyanthicalyx,Rubiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Psychotria fractinervata,60,NA,Psychotria,fractinervata,Rubiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vachellia hockii,59,NA,Vachellia,hockii,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Galiniera saxifraga,58,NA,Galiniera,saxifraga,Rubiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Macaranga monandra,58,NA,Macaranga,monandra,Euphorbiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vachellia tortilis,56,NA,Vachellia,tortilis,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Macaranga spinosa,48,NA,Macaranga,spinosa,Euphorbiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Neocussonia longipedicellata,48,NA,Neocussonia,longipedicellata,Araliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cleistanthus caudatus,44,NA,Cleistanthus,caudatus,Phyllanthaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Searsia pentheri,43,NA,Searsia,pentheri,Anacardiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Garcinia sp,42,NA,Garcinia,,Clusiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ficus brachyclada,40,NA,Ficus,brachyclada,Moraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Garcinia aphanophlebia,40,NA,Garcinia,aphanophelpida,Clusiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Garcinia tanzaniensis,40,NA,Garcinia,tanzaniensis,Clusiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Macaranga myriolepida,40,NA,Macaranga,myriolepida,Euphorbiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Macaranga sphaerophylla,40,NA,Macaranga,sphaerophylla,Euphorbiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Melanophylla sp,40,NA,Melanophylla,,Torricelliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Syzygium sp,40,NA,Syzygium,,Myrtaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vachellia karroo,40,NA,Vachellia,karroo,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Doratoxylon stipulatum,39,NA,Doratoxylon,stipulatum,Sapindaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Calophyllum paniculatum,38,NA,Calophyllum,paniculatum,Calophyllaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Pterocelastrus rostratus,38,NA,Pterocelastrus,rostratus,Celastraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Oncostemum nervosum,36,NA,Oncostemum,nervosum,Primulaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Parinari congolana,36,NA,Parinari,congolana,Chrysobalanaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Potameia chartacea,36,NA,Potameia,chartacea,Lauraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Gymnosporia laurina,33,NA,Gymnosporia,laurina,Celastraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cyathea sp,32,NA,Cyathea,,Cyatheaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ficus rubra,32,NA,Ficus,rubra,Moraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Tina striata,32,NA,Tina,striata,Sapindaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vuguierenthus longiracemosus,30,NA,Vuguierenthus,longiracemosus,Sapindaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Elaeodendron schinoides,29,NA,Elaeodendron,schinoides,Celastraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cola caricifolia,26,NA,Cola,caricifolia,Malvaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Maranthes polyandra,26,NA,Maranthes,polyandra,Chrysobalanaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cryptocarya acuminata,24,NA,Cryptocarya,acuminata,Lauraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cryptocarya ovalifolia,24,NA,Cryptocarya,ovalifolia,Lauraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Dombeya antsianakensis,24,NA,Dombeya,antsianakensis,Malvaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ficus botryoides,24,NA,Ficus,botryoides,Moraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Gaertnera phyllostachya,24,NA,Gaertnera,phyllostachya,Rubiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Razafimandimbisonia humblotii,24,NA,Razafimandimbisonia,humblotii,Rubiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Leucadendron sp,22,NA,Leucadendron,,Proteacea,tree,broadleaved,evergreen,,0,3,BET-Tr
Annona mucosa,20,NA,Annona,mucosa,Annonaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cassine paragua,20,NA,Cassine,paragua,Celastraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Kiggelaria sp,20,NA,Kiggelaria,,Achariaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Mammea sp,20,NA,Mammea,,Calophyllaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Searsia glauca,20,NA,Searsia,glauca,Anacardiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ilex sp,19,NA,Ilex,,Aquifoliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Olea capensis subsp. macrocarpa,18,NA,Olea,capensis,Oleaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vachellia erioloba,18,NA,Vachellia,erioloba,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ficus variifolia,17,NA,Ficus,variifola,Moraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Tabernaemontana donnell-smithii,16,NA,Tabernaemontana,,Apocynaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Balanitaceae sp,12,NA,Balanitaceae,,Zygophyllaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Prioria balsaminfera,12,NA,Prioria,balsaminfera,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Robsonodendron eucleiforme,11,NA,Robsonodendron,euceleiforme,Celastraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Terminalia myrtifolia,11,NA,Terminalia,myrtifolia,Combretaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Microdesmis yafungana,10,NA,Microdesmis,yafungana,Pandaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Trichilia gilgiana,10,NA,Trichilia,gilgiana,Meliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Viguieranthus longiracemosus,10,NA,Viguieranthus,longiracemosus,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Leplaea cedrata,9,NA,Leplaea,cedrata,Meliaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Noronhia peglerae,9,NA,Noronhia,peglerae,Oleaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Garcinia smeathmanii,8,NA,Garcinia,smeathmanii,Clusiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Searsia tomentosa,8,NA,Searsia,tomentosa,Anacardiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Tambourissa trichophylla,8,NA,Tambourissa,trichophylla,Monimiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Umtiza listerana,8,NA,Umtiza,listerana,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Vepris natalensis,8,NA,Vepris,natalensis,Rutaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Aphanocalyx cynometroides,6,NA,Aphanocalyx,cynometroides,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Boscia oleoides,6,NA,Boscia,oleoides,Capparaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Distephanus biafrae,6,NA,Distephanus,biafrae,Asteraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Ficus saussureana,6,NA,Ficus,saussureana,Moraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Fucus tilifolia,6,NA,Fucus,tilifolia,Moraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Dacryodes osika,5,NA,Dacryodes,osika,Burseraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Diospyros cathayensis,5,NA,Diospyros,cathayensis,Ebenaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Mimetes fibrifolium,5,NA,Mimetes,fibrifolium,Proteaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Chrysophyllum sp,4,NA,Chrysophyllum,,Sapotaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Dialium pentandrum,4,NA,Dialium,pentandrum,Fabaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Grossera multinervis,4,NA,Grossera,multinervis,Euphorbiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Quassia sylvestris,4,NA,Quassia,sylvestris,Simaroubaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Searsia leptodictya,4,NA,Searsia,leptodictya,Anacardiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Syzygium guineense subsp. afromontana,4,NA,Syzygium,guineese,Myrtaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cyathea camerooniana,3,NA,Cyathea,camerooniana,Cyatheaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Englerophytum magalismontanum,3,NA,Englerophytum,magalismontanum,Sapotaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Rhus longifolia,3,NA,Rhus,longifolia,Anacardiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Zanthoxylum lemairei,3,NA,Zanthoxylum,lemairei,Rutaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Afrocanthium kilifiense,2,NA,Afrocanthium,kilifiense,Rubiaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Barteria nigritana,2,NA,Barteria,nigritana,Passifloraceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Cola flavovelutina,2,NA,Cola,flavovelutina,Malvaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
